Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number, Supplier 1, Supplier 1 Part Number, Voltage, DisplayFootprint, TempCo, DNP
"D1","FSV8100V","Reclaimer_Labs:TO-277_3L_Diode","","Fairchild-ON","FSV8100V","Digikey","FSV8100VCT-ND","","","",""
"L1","22uH","Reclaimer_Labs:Inductor_DR127","","Eaton","DR127-220-R","Digikey","513-1044-1-ND","","","",""
"U1","LT3755-2-MSE","Housings_SSOP:MSOP-16-1EP_3x4mm_Pitch0.5mm","","Linear","LT3755EMSE-2#PBF","Digikey","LT3755EMSE-2#PBF-ND","","","",""
"Q1","DMT6016","Reclaimer_Labs:POWERDI5060-8","","Diodes Inc","DMT6016LPS-13","","","","","",""
"R8","0.0005R","Reclaimer_Labs:CST0612","","Bourns","CST0612-FC-R0005-E","","","","","",""
"C7","4.7uF","Capacitors_SMD:C_0805","","Samsung","CL21A475KOFNNNE","","","","","",""
"C8","1000pF","Capacitors_SMD:C_0603","","MacroFab","MF-CAP-0603-1nF","","","","","",""
"R9","28.7k","Resistors_SMD:R_0603","","Panasonic","ERJ-3EKF2872V","Digikey","P28.7KHCT-ND","","","",""
"C6","0.01uF","Capacitors_SMD:C_0603","","MacroFab","MF-CAP-0603-0.01uF","","","","","",""
"R7","100k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-100K","","","","","",""
"RT1","100k","Resistors_SMD:R_0603","","Murata","NCP18WF104J03RB","Digikey","490-2430-1-ND","","","",""
"R3","18k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-18K","","","","","",""
"R6","100k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-100K","","","","","",""
"R1","680k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-680K","","","","","",""
"C3","10uF","Capacitors_SMD:C_1206","","Samsung","CL31A106MBHNNNE","","","50V","1206","X5R",""
"R10","10k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-10K","","","","","",""
"R2","825k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-825K","","","","","",""
"R4","39mR","Resistors_SMD:R_0603","","Panasonic","ERJ-3BWFR039V","","","","","",""
"R5","15k","Resistors_SMD:R_0603","","MacroFab","MF-RES-0603-15K","","","","","",""
"J2","SAFETY","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm","","MacroFab","MF-CON-2.54mm-01x02","","","","","",""
"J1","CONN_01X04","Reclaimer_Labs:Header_04x01_2.5mm_RA","","JST","S4B-EH(LF)(SN)","","","","","",""
"C2","10uF","Capacitors_SMD:C_1206","","Samsung","CL31A106MBHNNNE","","","50V","1206","X5R",""
"C1","10uF","Capacitors_SMD:C_1206","","Samsung","CL31A106MBHNNNE","","","50V","1206","X5R",""
"C4","4.7uF","Capacitors_SMD:C_1206","","Taiyo Yuden","HMK325BJ475KM-PE","","","100V","1210","X5R",""
